,0
0,0.01
1,0.012
2,0.014
3,0.016
4,0.018
5,0.02
6,0.04
7,0.06
8,0.08
9,0.1
10,0.3
11,0.5
12,0.7
13,0.9
14,1.2
15,1.5
16,1.8
17,2.1
18,2.4
19,2.8
20,3.1
21,3.3
22,3.5
23,3.7
24,3.9
25,4.1
26,4.3
27,4.5
28,4.7
29,4.9
30,5.0
31,5.1
32,5.3
33,5.4
34,5.5
35,5.6
36,5.7
37,5.8
38,5.9
39,6.0
40,6.1
41,6.2
42,6.3
43,6.4
44,6.5
45,6.7
46,6.9
47,7.1
48,7.2
49,7.3
50,7.5
51,7.7
52,7.9
53,8.1
54,8.3
55,8.5
56,8.8
57,9.0
58,9.2
59,9.4
60,9.6
61,9.8
62,10.0
