temprature,Covid-19 recession,great recession,Off-crisis 2005,off_crisis 2019
0.01,1.0000000000000007,1.0000000000000007,0.9992222604840678,0.9994196466011007
0.012,1.0000000000000007,1.0000000000000007,0.9989654525891165,0.9990894063390736
0.014,1.0000000000000007,1.0000000000000007,0.9985864199559066,0.9988340295734365
0.016,1.0000000000000007,1.0000000000000007,0.9980519043661855,0.9984626382712088
0.018,1.0000000000000007,1.0000000000000007,0.9977442938122489,0.9981627385614492
0.02,1.0000000000000007,1.0000000000000007,0.9970931322564176,0.9975258535590418
0.04,1.0000000000000007,1.0000000000000007,0.9893603520568095,0.9901204230431186
0.06,1.0000000000000007,1.0000000000000007,0.9770829951836302,0.9774617914353961
0.08,1.0000000000000007,1.0000000000000007,0.956691826576202,0.9574948896242579
0.1,1.0000000000000007,1.0000000000000007,0.9309104872681356,0.9240357596545379
0.3,1.0000000000000007,1.0000000000000007,0.5216167674314475,0.5290121528168551
0.5,0.9999737871416681,1.0000000000000007,0.04719748329309631,0.295118447814796
0.7,0.9998821585856802,1.0000000000000007,0.0007277513350841242,0.05548813278213886
0.9,0.9998322450904408,1.0000000000000007,0.0004765176963913525,0.00013737874889520395
1.2,0.9993149502487498,1.0000000000000007,-0.0012019969037095205,-9.516218414125978e-05
1.5,0.9986075917433253,0.9999449920852292,0.0011907820074807706,-5.193722882867548e-05
1.8,0.9972036682804492,0.9998343430591712,4.988128497464975e-06,-0.00042948949585719105
2.1,0.9957642207502958,0.9995618013449599,7.601904148294043e-05,0.0009658690916334496
2.4,0.9895648960333618,0.9993247635145908,0.0009298647503251817,-0.0010645803702489325
2.8,0.9806699585343658,0.9983044295419389,0.0006947791413919149,0.0007498524085112565
3.1,0.9725066640749962,0.9962668576719841,0.00018713313698738115,0.0007305516714298545
3.3,0.9691906467487822,0.9945646838255653,0.00012704072950742875,0.0025649628923990666
3.5,0.9681335637279602,0.9932637777795483,0.0017993779918819665,0.0005334849358583721
3.7,0.9684697531723423,0.9906982670807366,0.0019735881273407656,-0.0013599595037900242
3.9,0.9646401628462175,0.9872924221569688,0.0013971524689870337,0.00047679135151275007
4.1,0.9626451611040673,0.9834333236369771,-0.0008456481885307891,-0.001588461363296554
4.3,0.9642811221761883,0.9807164498575592,-0.0005293242526348512,-6.584847363005417e-05
4.5,0.9602983711863057,0.9760988107139259,-0.0007199067850039514,-0.00029992778464924767
4.7,0.9570427103435628,0.9661672879955187,0.0011636818561184135,-0.0002624357506774565
4.9,0.9550976953292031,0.9611634251027216,6.071786607684577e-05,-5.57285032322188e-05
5.0,0.9550522851944716,0.959124205491146,-0.0014591378862835692,-0.0017069804925190614
5.1,0.9516305775759407,0.9524711613532696,-0.00024985800660810696,-0.0008001063405358671
5.3,0.9487392577720442,0.940153598295585,-0.0002556459385873039,0.0007171582527750294
5.4,0.9469947986908963,0.9344533545388732,-0.0016627516890617578,-0.0012266213425845321
5.5,0.9425922802227278,0.9314200942913734,-0.0011745329375978377,0.0009521077045364632
5.6,0.9390626495965609,0.920866363055022,-0.00040993188662450747,0.0002260837908406071
5.7,0.9369441322734079,0.9174584043543309,0.0007939174603821084,-0.0003624027368265961
5.8,0.9361334042357119,0.9050100531904209,-0.0006773597872824773,0.0007788238899002631
5.9,0.9305634946176351,0.8938378902316744,-0.0006257985298344645,0.0013681385207023739
6.0,0.9314232232155926,0.8797681610885376,-0.0010901496969982643,0.0015305768386296276
6.1,0.9257958431147322,0.872076113204509,0.0002999046485457754,-0.00038071113740966296
6.2,0.9181445020770463,0.8674724208096988,0.0022226217705025304,-0.0006983387355601054
6.3,0.9156873570421697,0.8511351125018277,-0.0016129019428774906,0.00022346928452451363
6.4,0.911489484396945,0.834809470580392,0.0013184201854665044,-0.0006568837180887557
6.5,0.9055825514546337,0.82273927395612,-0.000842284493886358,0.00039768856689472934
6.7,0.896800607323289,0.7893938405255196,-0.00045070767593670126,-0.0011740892525497074
6.9,0.8799593436660963,0.7467128374430633,-0.0006785762763708085,2.6389648680056418e-05
7.1,0.8688926201719456,0.6892366430941553,0.00047530529340782937,-0.0006774435982312519
7.2,0.8564524158815093,0.6328725559931823,-0.00019735748162097832,-0.0002709929242237505
7.3,0.8455807325290285,0.5939998002478603,-0.0004265443594366958,0.0008631619374550947
7.5,0.824351402283832,0.4267270944529382,0.0008175589212687421,-1.1078385789859563e-06
7.7,0.7964487882650401,0.1477560326406893,-0.00018655265467437023,-0.00047134928650359394
7.9,0.7491753673332016,0.030622706527521144,3.439054905465708e-06,-0.000761769419030677
8.1,0.7017565468955604,0.0011131149176221732,0.0007847074236944781,0.0005115667150305031
8.3,0.6072317317098143,-6.897321652973841e-05,-0.0007846267634510509,0.0002056158993539093
8.5,0.4552808111133493,-0.00037974763326667455,0.00011804076832372516,0.00017745871758828713
8.8,0.16042506214995508,-0.000758857084520032,-2.7447756195277627e-06,0.000516937727896599
9.0,0.013525871736916363,0.0008181249381094141,0.00029435327124416555,-0.0004871451942260363
9.2,0.00039402691152942926,0.0007798512817940252,-0.00025719801212068606,0.00029842825170301775
9.4,0.0006705797953020267,0.00043713527290737997,6.184206513073809e-05,-0.0013829471086962302
9.6,6.558926002972639e-07,0.0012229331629660463,0.0004677372314734195,0.0005156547953515033
9.8,-0.0011353518843262777,-0.0001156620854703437,-0.0010335347781672446,0.0003729696357019998
10.0,-0.0005778139493651855,0.0007401654031621287,0.0005744680123801223,0.0004224934126072357
