,0
0,-0.9934283440133175
1,-0.9983064650038691
2,-0.9956490866571269
3,-0.9978681948320265
4,-0.9965244273481517
5,-0.9956686036914494
6,-0.999075221495946
7,-0.9973758606758651
8,-0.997723558463614
9,-0.99826708507256
10,-0.9916475236698754
11,-0.9999049667217353
12,-0.9981067053130708
13,-0.9970380882771224
14,-0.9982206378772454
15,-1.000511542092028
16,-0.9961791405047401
17,-0.9930787273615581
18,-0.990559401216528
19,-0.9890746929838496
20,-0.98390496155169
21,-0.9823995340864178
22,-0.9801162920546355
23,-0.9749191272482036
24,-0.9719190193404451
25,-0.9673000780407925
26,-0.965347372455244
27,-0.9608107429907096
28,-0.9531506327464504
29,-0.945566683099711
30,-0.944937432281116
31,-0.938647587416904
32,-0.9291608463306793
33,-0.924119508025331
34,-0.9169432811115956
35,-0.9110586026095066
36,-0.9051282170220873
37,-0.890868328338371
38,-0.8769349417665355
39,-0.8314710633973769
40,-0.7690076550672968
41,-0.667564903539116
42,-0.5873416170746204
43,-0.5166656606629348
44,-0.35696948938140427
45,-0.18830091057870485
46,-0.11805281731089294
47,-0.07358236429535085
48,-0.07333904589320286
49,-0.06982518782524223
50,-0.06579903476370938
51,-0.06344528801963564
52,-0.059340318338145404
53,-0.056877732501964026
54,-0.055267489710851304
55,-0.05333929551263214
56,-0.05185572591119109
57,-0.0502479020719297
58,-0.052244658863182115
59,-0.048015302459161864
60,-0.04704968655687086
61,-0.044964465515747336
62,-0.042608864248486034
