,0
0,0.14760340335780262
1,0.14760340335780262
2,0.14760340335780262
3,0.14760340335780262
4,0.14760340335780262
5,0.14760340335780262
6,0.14760340335780262
7,0.14760340335780262
8,0.14760340335780262
9,0.14760340335780262
10,0.14760340335780262
11,0.14760340335780262
12,0.14760340335780262
13,0.14760340335780262
14,0.14760340335780262
15,0.14770516428890068
16,0.1479056013100164
17,0.1483636078075216
18,0.14880540713244747
19,0.15064403803181523
20,0.1539635701767668
21,0.15681199024387282
22,0.15876170260658237
23,0.16288613307541674
24,0.1679754224112775
25,0.1739831013431521
26,0.17757504812724154
27,0.18388380628479797
28,0.19699161661784093
29,0.20360410087574896
30,0.2059138813075113
31,0.21493316822788372
32,0.22976943584024834
33,0.23721026438623316
34,0.23809882896928383
35,0.25236973003989754
36,0.25481676429730515
37,0.2677159138872005
38,0.28109219256492607
39,0.29466485549230303
40,0.30302605106905256
41,0.3082238210078136
42,0.32130477839602356
43,0.3349835628844011
44,0.34531873998682405
45,0.37264958916677615
46,0.4042735315430923
47,0.4403834615832455
48,0.47558273026296755
49,0.4939086052715515
50,0.5668759280362745
51,0.6621995679986503
52,0.6908583751580076
53,0.698746269945708
54,0.6990268503710126
55,0.6989802472182178
56,0.6991889379914246
57,0.6991029793001049
58,0.6991568690500387
59,0.6990776605198201
60,0.6991124929442581
61,0.6991127300850788
62,0.6991589080434679
