shifting Day,real data,gaussian 
-50,0.01,0.001
-40,1.8,0.01
-30,2.8,0.9
-25,5.0,1.8
-10,8.4,5.0
0,8.2,5.1
10,7.7,4.9
25,7.2,3.7
30,5.7,2.6
40,3.3,0.7
50,3.5,0.7
